"medium vote";"medium vote"
"Medium vote";"Medium vote"
"by votes..";"by votes.."
"by pages..";"by pages.."
"wrote";"wrote"
"pages";"pages"
"page";"page"
"Used %1\$s times";"Used %1\$s times"
"subLogoInfo";"%s books online with %s pages, read by %s users."
"Loading...";"Loading..."
"has wrote a new page.";"has wrote a new page."
"has registered. Welcome!";"has registered. Welcome!"
"has wrote a new story.";"has wrote a new story."
"has voted a";"has voted a"
"has voted";"has voted"
"has voted a page you wrote";"has voted a page you wrote"
"and";"and"
"is";"is"
"are";"are"
"of";"of"
"First";"First"
"Last";"Last"
"Next";"Next"
"Previous";"Previous"
"Votes";"Votes"
"Voted";"Voted"
"Not voted";"Not voted"
"Page count";"Page count"
"New pages";"New pages"
"Order by";"Order by"
"Language";"Language"
"Wrote by";"Wrote by"
"you";"you"
"Following!";"Following!"
"Unfollow!";"Unfollow!"
"Follow!";"Follow!"
"Show/Hide sidebar";"Show/Hide sidebar"
"This page has been read %s times.";"This page has been read <b>%s</b> times."
"Vote this page!";"Vote this page!"
"Edit!";"Edit!"
"Bookmark this page!";"Bookmark this page!"
"Remove this writer from your blacklist!";"Remove this writer from your blacklist!"
"Add this writer to your blacklist!";"Add this writer to your blacklist!"
"Block user";"Block user"
"Unblock user";"Unblock user"
"Choose how this story should continue...";"And now choose how this story should continue..."
"clicked by %s% of readers";"clicked by %s&#37; of readers"
"Add a page";".. or add a page"
"You must login to add a page!";"You must login to add a page!"
"Back!";"Back to previous page!"
"Thanks for voting!";"Thanks for voting!"
"wrote by";"wrote by"
"wroteM by";"wrote by"
"A user become your friend if he's following you and you too.";"A user become your friend if he's following you and you too."
"You don't have friends!.. Foreveralone...";"You don't have friends!.. Foreveralone..."
"Nobody";"Nobody"
"Share with...";"Share with..."
"Confirm?";"Confirm?"
"No bookmarks!";"No bookmarks!"
"Item deleted!";"Item deleted!"
"Change password!";"Change password!"
"Do you want receive notifications via mail?";"Do you want receive notifications via mail?"
"Leave a message!";"Leave a message!"
"followed_by_x_users";"Followed by %s readers"
"Back to my profile";"Back to my profile"
"Report page";"Report page"
"percentage votes positive";"% of positive votes"

"TOP WRITERS OF THE WEEK";"TOP WRITERS OF THE LAST 7 DAYS"
"TOP WRITERS OF ALL TIME";"TOP WRITERS OF ALL TIME"
"RECENT ACTIVITY";"RECENT ACTIVITY"

"USER_WALL_PAGE_VOTED";"<a href='%s'>%s</a> has voted a your <a href='%s'>page</a>"
"USER_WALL_PAGE_HE_VOTED";"<a href='%s'>%s</a> has voted his/her <a href='%s'>page</a>"
"USER_WALL_PAGE_MSG";"<a href='%s'>%s</a> has wrote:"
"USER_YOU_WROTE_X_PAGES";"You wrote %s pages"
"USER_WROTE_X_PAGES";"Wrote %s pages"
"USER_YOU_WROTE_X_STORIES";"You started %s stories"
"USER_WROTE_X_STORIES";"Started %s stories"
"USER_YOU_ARE_FOLLOWEDBY_X_USERS";"You are followed by %s readers"
"USER_FOLLOWEDBY_X_USERS";"Followed by %s readers"
"USER_YOU_ARE_FOLLOWING_X_USERS";"You are following %s writers"
"USER_FOLLOWING_X_USERS";"Is following %s writers"
"USER_YOU_VOTED_X_PAGES";"You voted %s pages"
"USER_VOTED_X_PAGES";"Voted %s pages"
"USER_YOU_READ_X_PAGES";"You read %s pages"
"USER_READ_X_PAGES";"Read %s pages"
"PAGE_VOTES_REPORT";"%s of %s likes this page"

"STREAM_NEW_PAGE";" has wrote a new <a href='%s'>page</a>"
"STREAM_NEW_STORY";" has wrote a new <a href='%s'>story</a>"
"STREAM_NEW_VOTE";" has voted a <a href='%s'>page</a>"

"CHARS_COUNTER_TITLE_KO";"The perfect story has at least %s and a max of %s chars, but you can write long as you want."
"CHARS_COUNTER_TITLE_OK";"Text lenght is perfect!"

"NOTIFY_SEND_TO_FOLLOWERS_OF_TEXT";"<b>%s</b> wrote a new page!<br/><br/><i>%s</i><br/><br/><a href='http://storycrossing.com/books/stories/view/idpage/%s'>Click here</a> for read now!<br/><br/>Have a nice day, StoryCrossing."
