"medium vote";"voto medio"
"Medium vote";"Voto medio"
"by votes..";"per voto.."
"by pages..";"per pagine.."
"wrote";"ha scritto"
"pages";"pagine"
"page";"pagina"
"Used %1\$s times";"Usato %1\$s volte"
"subLogoInfo";"%s libri online con %s pagine, letti da %s utenti."
"Loading...";"Caricamento..."
"has wrote a new page.";"ha scritto una nuova pagina."
"has registered. Welcome!";"si è registrato. Benvenuto/a!"
"has wrote a new story.";"ha scritto una nuova storia."
"has voted a";"ha votato una"
"has voted";"ha votato"
"has voted a page you wrote";"ha votato una pagina che hai scritto"
"and";"e"
"is";"è"
"are";"sono"
"of";"di"
"First";"Inizio"
"Last";"Fine"
"Next";"Successivo"
"Previous";"Precedente"
"Votes";"Voti"
"Voted";"Votata"
"Not voted";"Non votata"
"Page count";"Numero pagine"
"New pages";"Nuove pagine"
"Order by";"Ordina per"
"Language";"Lingua"
"Wrote by";"Scritto da"
"you";"te"
"Following!";"Preferito!"
"Unfollow!";"Rimuovi dai preferiti"
"Follow!";"Aggiungi ai preferiti"
"Show/Hide sidebar";"Vedi/Nascondi menù"
"This page has been read %s times.";"Questa pagina è stata letta <b>%s</b> volte."
"Vote this page!";"Vota questa pagina!"
"Edit!";"Modifica!"
"Bookmark this page!";"Aggiungi ai segnalibri!"
"Remove this writer from your blacklist!";"Rimuovi questo scrittore dalla tua blacklist!"
"Add this writer to your blacklist!";"Aggiungi questo scrittore alla tua blacklist!"
"Block user";"Blocca utente"
"Unblock user";"Sblocca utente"
"Choose how this story should continue...";"E ora scegli come proseguire la storia..."
"clicked by %s% of readers";"scelta dal %s&#37; dei lettori"
"Add a page";"..oppure aggiungi una pagina"
"You must login to add a page!";"Devi effettuare il login per aggiungere una pagina!"
"Back!";"Torna alla pagina precedente!"
"Thanks for voting!";"Grazie per aver votato!"
"wrote by";"scritta da"
"wroteM by";"scritto da"
"A user become your friend if he's following you and you too.";"Un utente diventa tuo amico se entrambi vi siete aggiunti agli scrittori preferiti"
"You don't have friends!.. Foreveralone...";"Non hai amici!... Foreveralone..."
"Nobody";"Nessuno"
"Share with...";"Condividi con..."
"Confirm?";"Confermi?"
"No bookmarks!";"Nessun segnalibro!"
"Item deleted!";"Segnalibro eliminato!"
"Change password!";"Cambia password!"
"Do you want receive notifications via mail?";"Vuoi ricevere le notifiche via mail?"
"Leave a message!";"Lascia un messaggio!"
"followed_by_x_users";"Seguito da %s lettori"
"Back to my profile";"Torna al tuo profilo"
"Report page";"Segnala pagina"
"percentage votes positive";"% di voti positivi"

"TOP WRITERS OF THE WEEK";"I MIGLIORI DEGLI ULTIMI 7 GIORNI"
"TOP WRITERS OF ALL TIME";"I MIGLIORI DI SEMPRE"
"RECENT ACTIVITY";"ATTIVITA' RECENTI"

"USER_WALL_PAGE_VOTED";"<a href='%s'>%s</a> ha votato una tua <a href='%s'>pagina</a>"
"USER_WALL_PAGE_HE_VOTED";"<a href='%s'>%s</a> ha votato una sua <a href='%s'>pagina</a>"
"USER_WALL_PAGE_MSG";"<a href='%s'>%s</a> ha scritto:"
"USER_YOU_WROTE_X_PAGES";"Hai scritto %s pagine"
"USER_WROTE_X_PAGES";"Ha scritto %s pagine"
"USER_YOU_WROTE_X_STORIES";"Hai iniziato %s storie"
"USER_WROTE_X_STORIES";"Ha iniziato %s storie"
"USER_YOU_ARE_FOLLOWEDBY_X_USERS";"Sei seguito da %s lettori"
"USER_FOLLOWEDBY_X_USERS";"E' seguito da %s lettori"
"USER_YOU_ARE_FOLLOWING_X_USERS";"Stai seguendo %s scrittori"
"USER_FOLLOWING_X_USERS";"Sta seguendo %s scrittori"
"USER_YOU_VOTED_X_PAGES";"Hai votato %s pagine"
"USER_VOTED_X_PAGES";"Ha votato %s pagine"
"USER_YOU_READ_X_PAGES";"Hai letto %s pagine"
"USER_READ_X_PAGES";"Ha letto %s pagine"
"PAGE_VOTES_REPORT";"A %s lettori su %s piace questo racconto"

"STREAM_NEW_PAGE";" ha scritto una nuova <a href='%s'>pagina</a>"
"STREAM_NEW_STORY";" ha scritto una nuova <a href='%s'>storia</a>"
"STREAM_NEW_VOTE";" ha votato una <a href='%s'>pagina</a>"

"CHARS_COUNTER_TITLE_KO";"Una storia, per una miglior lettura, dovrebbe avere un minimo di %s ed un massimo di %s caratteri, puoi comunque scrivere quanto preferisci."
"CHARS_COUNTER_TITLE_OK";"Lunghezza della storia ottimale!"

